request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_197,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 21 January 2026. None of the available options keeps the IDR 26245900 minimum protected.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. This keeps at least INR 124300 available over the next 90 days.
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 7 September 2024. This keeps at least IDR 25359500 available."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. This keeps at least IDR 20114600 available over the next 90 days.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. This keeps at least IDR 17304500 available over the next 90 days.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. This keeps at least INR 147800 available over the next 90 days.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This keeps at least EUR 1400 available."
request_204,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 31 January 2026. None of the available options keeps the EUR 1300 minimum protected.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. This keeps at least IDR 13994300 available over the next 90 days.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This keeps at least EUR 900 available."
request_207,4496.15,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Pay ZAR 11830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13600 minimum.
request_208,3048192.42,affordable_later,wait,2024-06-14:4413000,2024-06-14,none,Pay IDR 4413000 in full on 14 June 2024. Paying earlier would take the balance below the IDR 10470700 minimum.
request_209,1598.19,not_affordable,not_recommended,none,,none,Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 18400 minimum protected.
request_210,1127.86,affordable_with_plan,partial_payment,2026-04-06:1127.86|2026-04-14:232.16,2026-04-14,none,Pay USD 1127.86 today and the remaining USD 232.16 on 14 April 2026. This completes the full request and keeps the USD 2000 minimum protected.
request_211,271.32,affordable_later,wait,2024-09-14:1788.60,2024-09-14,none,Pay EUR 1788.60 in full on 14 September 2024. Paying earlier would take the balance below the EUR 1500 minimum.
request_212,6265860.26,not_affordable,not_recommended,none,,none,Do not make this payment by 28 February 2025. None of the available options keeps the IDR 29579800 minimum protected.
request_213,2484.61,not_affordable,not_recommended,none,,none,Do not make this payment by 22 March 2026. None of the available options keeps the USD 2100 minimum protected.
request_214,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 28 January 2025. None of the available options keeps the INR 174900 minimum protected.
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 9 May 2025. This keeps at least ZAR 15700 available."
request_216,478.42,affordable_later,wait,2026-09-13:3332.40,2026-09-13,none,Pay USD 3332.40 in full on 13 September 2026. Paying earlier would take the balance below the USD 1800 minimum.
request_217,19620.5,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments of ZAR 12889.07, starting 19 March 2024. This keeps at least ZAR 26800 available."
request_218,28219052.09,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-14,none,"Use 3 installments of IDR 21195893.33, starting 7 August 2025. This keeps at least IDR 34477200 available."
request_219,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 13 June 2026. None of the available options keeps the EUR 1100 minimum protected.
request_220,154.71,not_affordable,not_recommended,none,,none,Do not make this payment by 3 July 2024. None of the available options keeps the EUR 1100 minimum protected.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. This keeps at least INR 81500 available over the next 90 days.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This keeps at least ZAR 27300 available over the next 90 days.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This keeps at least EUR 800 available over the next 90 days.
request_224,10103888.46,affordable_with_plan,partial_payment,2025-02-04:10103888.46|2025-02-14:223111.54,2025-02-14,none,Pay IDR 10103888.46 today and the remaining IDR 223111.54 on 14 February 2025. This completes the full request and keeps the IDR 22187600 minimum protected.
request_225,9632761.38,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-13,none,"Use 3 installments of IDR 7647120, starting 20 July 2026. This keeps at least IDR 17670700 available."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This keeps at least INR 209400 available over the next 90 days.
request_227,7313.04,not_affordable,not_recommended,none,,none,Do not make this payment by 20 June 2025. None of the available options keeps the INR 62900 minimum protected.
request_228,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 30 April 2026. None of the available options keeps the IDR 26191200 minimum protected.
request_229,330.23,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-18,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This keeps at least EUR 1000 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay EUR 3537.60 today. This keeps at least EUR 2000 available over the next 90 days.
request_231,34408.4,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-14,none,"Use 3 installments of ZAR 12378.08, starting 6 January 2026. This keeps at least ZAR 24300 available."
request_232,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 August 2024. None of the available options keeps the EUR 2400 minimum protected.
request_233,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 December 2025. None of the available options keeps the IDR 10365700 minimum protected.
request_234,227.16,affordable_later,wait,2026-09-13:1213.30,2026-09-13,none,Pay EUR 1213.30 in full on 13 September 2026. Paying earlier would take the balance below the EUR 700 minimum.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This keeps at least USD 700 available over the next 90 days.
request_236,5794905.49,not_affordable,not_recommended,none,,none,Do not make this payment by 23 February 2025. None of the available options keeps the IDR 16768600 minimum protected.
request_237,19898030.6,not_affordable,not_recommended,none,,none,Do not make this payment by 20 May 2026. None of the available options keeps the IDR 22431500 minimum protected.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This keeps at least USD 700 available."
request_239,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 24 May 2025. None of the available options keeps the USD 600 minimum protected.
request_240,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 20 March 2026. None of the available options keeps the INR 52800 minimum protected.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 17 March 2024. This keeps at least IDR 19252000 available."
request_242,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This keeps at least ZAR 19900 available over the next 90 days.
request_244,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 July 2024. None of the available options keeps the ZAR 45900 minimum protected.
request_245,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the available options keeps the INR 94600 minimum protected.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 3 April 2026. This keeps at least ZAR 39300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.30 today. This keeps at least EUR 1300 available over the next 90 days.
request_248,1134.62,affordable_with_plan,partial_payment,2025-02-07:1134.62|2025-02-11:830.98,2025-02-11,none,Pay USD 1134.62 today and the remaining USD 830.98 on 11 February 2025. This completes the full request and keeps the USD 1300 minimum protected.
request_249,116.62,not_affordable,not_recommended,none,,none,Do not make this payment by 15 March 2026. None of the available options keeps the USD 600 minimum protected.
request_250,15422.85,not_affordable,not_recommended,none,,none,Do not make this payment by 18 January 2025. None of the available options keeps the ZAR 35300 minimum protected.
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,"Do not proceed with the EUR 1513.60 request. Although EUR 1513.60 is available today, the full amount cannot be completed safely within 90 days."
request_252,4971599.63,affordable_later,wait,2026-09-13:28082000,2026-09-13,none,Pay IDR 28082000 in full on 13 September 2026. Paying earlier would take the balance below the IDR 15152200 minimum.
request_253,1183.22,not_affordable,not_recommended,none,2024-05-18,none,"Do not proceed with the EUR 2840.20 request. Although EUR 1183.22 is available today, the full amount cannot be completed safely within 90 days."
request_254,885.96,affordable_later,wait,2025-10-13:3535.20,2025-10-13,none,Pay USD 3535.20 in full on 13 October 2025. Paying earlier would take the balance below the USD 2500 minimum.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. This keeps at least IDR 9813900 available over the next 90 days.
request_256,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 19 August 2024. None of the available options keeps the INR 168600 minimum protected.
request_257,365.87,affordable_later,wait,2025-11-14:1352.40,2025-11-14,none,Pay USD 1352.40 in full on 14 November 2025. Paying earlier would take the balance below the USD 1600 minimum.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 today. This keeps at least USD 500 available over the next 90 days.
request_259,411.69,affordable_later,wait,2024-11-13:935,2024-11-13,none,Pay EUR 935 in full on 13 November 2024. Paying earlier would take the balance below the EUR 600 minimum.
request_260,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 18 April 2025. None of the available options keeps the IDR 20727700 minimum protected.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 today. This keeps at least EUR 1500 available over the next 90 days.
request_262,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 24 January 2025. None of the available options keeps the IDR 31018500 minimum protected.
request_263,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 June 2025. None of the available options keeps the ZAR 24100 minimum protected.
request_264,23325.22,affordable_later,wait,2026-06-13:111300,2026-06-13,none,Pay INR 111300 in full on 13 June 2026. Paying earlier would take the balance below the INR 59500 minimum.
request_265,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 21 March 2024. None of the available options keeps the INR 189700 minimum protected.
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This keeps at least EUR 900 available."
request_267,1634.22,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-14,none,"Use 3 installments of EUR 667.33, starting 8 January 2026. This keeps at least EUR 1500 available."
request_268,1043.8,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-14,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This keeps at least EUR 1400 available."
request_269,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2 January 2026. None of the available options keeps the ZAR 23100 minimum protected.
request_270,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 30 August 2026. None of the available options keeps the USD 1400 minimum protected.
request_271,6161.14,not_affordable,not_recommended,none,2024-11-18,none,"Do not proceed with the INR 91300 request. Although INR 6161.14 is available today, the full amount cannot be completed safely within 90 days."
request_272,6007290.55,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-16,none,"Use 3 installments of IDR 4709466.67, starting 12 February 2025. This keeps at least IDR 7508600 available."
request_273,9573656.91,affordable_with_plan,partial_payment,2026-04-07:9573656.91|2026-04-14:6287343.09,2026-04-14,none,Pay IDR 9573656.91 today and the remaining IDR 6287343.09 on 14 April 2026. This completes the full request and keeps the IDR 18774600 minimum protected.
request_274,2127.96,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-01-16,none,"Use 3 installments of EUR 940.75, starting 4 December 2024. This keeps at least EUR 1800 available."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This keeps at least IDR 12760100 available over the next 90 days.
